# Energy Capacitors
## Coalition
outfit "Small Battery Module"
  category "Energy Capacity"
  thumbnail "outfit/small battery module"
  licences
    Coalition
  cost 44000
  "mass" 4
  "outfit space" -4
  "energy capacity" 900
  description "Because Coalition ships rely on solar power, they must also be able to store a substantial amount of energy. This small battery pack is much more efficient than comparable human technology."

outfit "Large Battery Module"
  category "Energy Capacity"
  thumbnail "outfit/large battery module"
  licences
    Coalition
  cost 340000
  "mass" 18
  "outfit space" -18
  "energy capacity" 4500
  description "This battery pack stores enough power to allow a Coalition ship to continue manoeuvring even when its solar panels are only producing a fraction of their peak output."


## Hai
outfit "Chasm Batteries"
  plural "Chasm Batteries"
  category "Energy Capacity"
  thumbnail "outfit/battery_tiny_hai"
  cost 18000
  "mass" 5
  "outfit space" -5
  "energy capacity" 491
  description "Hai power storage technology is thousands of years old, but remarkably simple and robust. This is the smallest Hai battery pack."

outfit "Fissure Batteries"
  plural "Fissure Batteries"
  category "Energy Capacity"
  thumbnail "outfit/battery_small_hai"
  cost 22000
  "mass" 15
  "outfit space" -15
  "energy capacity" 1709
  description "This battery pack has more than three times the energy capacity of the Hai Chasm Batteries, allowing their ships to engage in combat for longer periods of time before running out of energy."

outfit "Gorge Batteries"
  plural "Gorge Batteries"
  category "Energy Capacity"
  thumbnail "outfit/battery_medium_hai"
  cost 55000
  "mass" 30
  "outfit space" -30
  "energy capacity" 3761
  description "This medium-sized battery pack is ideal for most of the Hai power needs, allowing for medium length combat engagements, but could also be used keep a ship's heat footprint low with a small power generator and oversized engines."

outfit "Ravine Batteries"
  plural "Ravine Batteries"
  category "Energy Capacity"
  thumbnail "outfit/battery_large_hai"
  cost 124000
  "mass" 60
  "outfit space" -60
  "energy capacity" 8205
  description "This large battery pack boasts higher energy density than smaller models, and helps keep ships fighting in spite of sustaining several Ion Cannon impacts."

outfit "Valley Batteries"
  plural "Valley Batteries"
  category "Energy Capacity"
  thumbnail "outfit/battery_huge_hai"
  cost 300000
  "mass" 120
  "outfit space" -120
  "energy capacity" 17777
  description "While most Hai ships do not employ their largest battery model, a few very powerful warships are occasionally equipped with one, keeping their heat footprint low, and allowing them to survive longer in a fight against opponents carrying Ion Cannons."


## Human
outfit "Supercapacitor"
  category "Energy Capacity"
  thumbnail "outfit/supercapacitor"
  cost 25000
  "mass" 2
  "outfit space" -2
  "energy capacity" 150
  description "With a powerful enough generator, many ships do not need batteries at all. The one exception is projectile weapons, which usually require a burst of energy far exceeding what the generator produces. Supercapacitors provide just enough energy storage for those weapons, without requiring you to install a bulky battery pack."

outfit "LP036a Battery Pack"
  category "Energy Capacity"
  thumbnail "outfit/battery_tiny"
  cost 12000
  "mass" 10
  "outfit space" -10
  "energy capacity" 1000
  description "A ship can run without batteries if its generator's instantaneous power output is higher than the total energy consumption of its systems, but batteries make it possible to store up energy when it is not needed and thus to use a much smaller and cheaper generator."

outfit "LP072a Battery Pack"
  category "Energy Capacity"
  thumbnail "outfit/battery_small"
  cost 30000
  "mass" 20
  "outfit space" -20
  "energy capacity" 2200
  description "This battery pack has more than twice the energy capacity of the most basic model, allowing your ship to engage in combat for longer periods of time before running out of energy. Some pilots have even been known to install these in lieu of any generator at all, trusting that they can reach their destination planet and recharge before running out of battery power, but that is a risky proposition."

outfit "LP144a Battery Pack"
  category "Energy Capacity"
  thumbnail "outfit/battery_medium"
  cost 67000
  "mass" 40
  "outfit space" -40
  "energy capacity" 4800
  description "This medium-sized battery pack is intended for ships that need to fire the occasional salvo of high-powered weaponry without running out of energy. As with all battery packs, relying on batteries is risky if combat lasts long enough for them to become depleted."

outfit "LP288a Battery Pack"
  category "Energy Capacity"
  thumbnail "outfit/battery_large"
  cost 150000
  "mass" 80
  "outfit space" -80
  "energy capacity" 10400
  description "This is a large battery pack designed for ships that may occasionally have high power needs but do not want the expense or the heat associated with a more powerful ship's generator."

outfit "LP576a Battery Pack"
  category "Energy Capacity"
  thumbnail "outfit/battery_huge"
  cost 380000
  "mass" 160
  "outfit space" -160
  "energy capacity" 23000
  description "For most ships that require this much power, a larger generator makes more sense than a battery this size. However, battery packs have the advantage that they generate no heat, so some captains use them instead of powerful generators if they do not expect to be in combat frequently or for extended periods of time."


## Quarg
outfit "Nanotech Battery"
  plural "Nanotech Batteries"
  category "Energy Capacity"
  thumbnail "outfit/unknown"
  cost 3000000
  "mass" 50
  "outfit space" -50
  "energy capacity" 30000


## Remnant
outfit "Crystal Capacitor"
  category "Energy Capacity"
  thumbnail "outfit/crystal capacitor"
  licences
    Remnant
  cost 113000
  "mass" 12
  "outfit space" -12
  "energy capacity" 3400
  "energy consumption" .4
  description "These crystals, mined on the Remnant planet Viminal, can store a surprising amount of power in a compact form. Crystals pure enough to be used in such a manner are hard to find, however."
  description "  Also, the capacitors tend to leak small amounts of energy."



# Solar collection
## Coalition
outfit "Small Collector Module"
  category "Energy Generation"
  thumbnail "outfit/small collector module"
  licences
    Coalition
  cost 60000
  "mass" 8
  "outfit space" -8
  "solar collection" .8
  "heat generation" .4
  description "Solar power is the mainstay of the Coalition's merchant marine. The design of these panels has been refined over the millennia, growing ever more efficient."

outfit "Large Collector Module"
  category "Energy Generation"
  thumbnail "outfit/large collector module"
  licences
    Coalition
  cost 300000
  "mass" 28
  "outfit space" -28
  "solar collection" 3.3
  "heat generation" 1.5
