               "afterburner/mass" ; "afterburner/energy" ; "afterburner/heat"  ; "afterburner/fuel"
Afterburner  :  25.  /  15 = 1.67 ;                      ;  25.  / 10.  =  2.5 ;  25.  /  5.  =  5. 
Ionic        :  29.  /  24 = 1.21 ;  29.  /  5.1  =  5.7 ;  29.  / 12.  =  2.4 ;  29.  /  1.  = 29.  

               "thrust/mass"      ; "thrust/energy"      ; "thrust/heat"
Stellar      : 153.4 / 118 = 1.3  ; 153.4 / 15.8  =  9.7 ; 153.4 / 42.6 =  3.6
Dufaer       : 139.7 / 127 = 1.1  ; 139.7 / 13.3  = 10.5 ; 139.7 / 29.1 =  4.8
Tyrant       : 130.5 / 167 =  .78 ; 130.5 / 10.5  = 12.4 ; 130.5 / 23.5 =  5.6
Bufaer       : 120.1 / 104 = 1.15 ; 120.1 / 10.9  = 11.  ; 120.1 / 23.8 =  5. 
A520         :  87.7 /  86 = 1.02 ;  87.7 /  7.1  = 12.4 ;  87.7 / 16.9 =  5.2
Dondir       :  81.9 /  82 = 1.   ;  81.9 /  8.3  =  9.9 ;  81.9 / 17.4 =  4.7
IT-5700      :  81.5 / 134 =  .61 ;  81.5 /  6.3  = 12.9 ;  81.5 / 11.7 =  7. 
*Graviton*   :  80.  / 100 =  .8  ;  80.  / 20.   =  4.  ;  80.  / 10.  =  8. 
Planetary    :  80.  /  69 = 1.16 ;  80.  /  8.9  =  9.  ;  80.  / 22.7 =  3.5
Smelter      :  76.8 /  76 = 1.01 ;  76.8 / 10.1  =  7.6 ;  76.8 / 10.2 =  7.5
Orca         :  67.9 /  98 =  .69 ;  67.9 /  5.8  = 11.7 ;  67.9 / 12.3 =  5.5
Bondir       :  66.1 /  63 = 1.05 ;  66.1 /  6.4  = 10.3 ;  66.1 / 13.4 =  4.9
Lohmar       :  66.  /  84 =  .79 ;  66.  /  4.9  = 13.5 ;  66.  /  6.9 =  9.6
Type 4       :  55.2 /  65 =  .85 ;  55.2 /  3.7  = 14.9 ;  55.2 /  7.6 =  7.3
A370         :  50.7 /  56 =  .91 ;  50.7 /  4.4  = 11.5 ;  50.7 / 10.  =  5.1
Diroo        :  47.6 /  53 =  .9  ;  47.6 /  5.1  =  9.3 ;  47.6 / 10.3 =  4.6
Cormet       :  44.  /  60 =  .73 ;  44.  /  3.3  = 13.3 ;  44.  /  4.6 =  9.6
IT-4700      :  42.5 /  79 =  .54 ;  42.5 /  3.5  = 12.1 ;  42.5 /  6.2 =  6.9
Biroo        :  41.5 /  44 =  .94 ;  41.5 /  4.2  =  9.9 ;  41.5 /  8.6 =  4.8
Lunar        :  41.2 /  40 = 1.03 ;  41.2 /  4.9  =  8.4 ;  41.2 / 11.9 =  3.5
Forge        :  37.  /  39 =  .95 ;  37.  /  5.15 =  7.2 ;  37.  /  5.  =  7.4
Impala       :  35.4 /  58 =  .61 ;  35.4 /  3.2  = 11.1 ;  35.4 /  6.5 =  5.4
Type 3       :  31.5 /  42 =  .75 ;  31.5 /  2.3  = 13.7 ;  31.5 /  4.4 =  7.2
A250         :  28.7 /  36 =  .8  ;  28.7 /  1.6  = 17.9 ;  28.7 /  5.8 =  4.9
Akfar        :  28.  /  43 =  .65 ;  28.  /  2.2  = 12.7 ;  28.  /  3.1 =  9. 
Denga        :  27.3 /  34 =  .8  ;  27.3 /  3.1  =  8.8 ;  27.3 /  6.1 =  4.5
L Module     :  26.2 /  32 =  .82 ;  26.2 /  1.7  = 15.4 ;  26.2 / 12.5 =  2.1
Benga        :  23.6 /  28 =  .84 ;  23.6 /  2.6  =  9.1 ;  23.6 /  5.  =  4.7
IT-3700      :  22.1 /  46 =  .48 ;  22.1 /  1.9  = 11.6 ;  22.1 /  3.2 =  6.9
Comet        :  21.8 /  24 =  .91 ;  21.8 /  2.8  =  7.8 ;  21.8 /  6.5 =  3.4
Greyhound    :  18.4 /  34 =  .54 ;  18.4 /  1.8  = 10.2 ;  18.4 /  3.4 =  5.4
Crucible     :  18.  /  20 =  .9  ;  18.  /  2.65 =  6.8 ;  18.  /  2.5 =  7.2
Type 2       :  17.6 /  27 =  .65 ;  17.6 /  1.4  = 12.6 ;  17.6 /  2.5 =  7. 
Dasrem       :  15.4 /  22 =  .7  ;  15.4 /  1.8  =  8.6 ;  15.4 /  3.5 =  4.4
Basrem       :  13.2 /  18 =  .73 ;  13.2 /  1.5  =  8.8 ;  13.2 /  2.9 =  4.6
IT-2700      :  11.5 /  27 =  .43 ;  11.5 /  1.1  = 10.5 ;  11.5 /  1.7 =  6.8
Asteroid     :  11.2 /  14 =  .8  ;  11.2 /  1.5  =  7.5 ;  11.2 /  3.4 =  3.3
*Baellie*    :  10.1 /  24 =  .42 ;  10.1 /  1.2  =  8.4 ;  10.1 /  2.4 =  4.2
Chipmunk     :   9.6 /  20 =  .48 ;   9.6 /  1.   =  9.6 ;   9.6 /  1.8 =  5.3
A120         :   8.4 /  13 =  .65 ;   8.4 /   .8  = 10.5 ;   8.4 /  1.7 =  4.9
S Module     :   6.6 /   9 =  .73 ;   6.6 /   .46 = 14.3 ;   6.6 /  3.5 =  1.9
Type 1       :   6.6 /  12 =  .55 ;   6.6 /   .5  = 13.2 ;   6.6 /   .9 =  7.3
IT-1700      :   6.  /  16 =  .38 ;   6.  /   .6  = 10.  ;   6.  /   .9 =  6.7
*IC-900*     :   4.  /  20 =  .2  ;   4.  /   .4  = 10.  ;   4.  /   .6 =  6.7

* combined engines (thruster + steering)

               "turn/mass"       ; "turn/energy"      ; "turn/heat"
Stellar      : 4005 /  89 = 45.  ; 4005 /  8.2  = 488 ; 4005 / 26.7 = 150
Dufaer       : 3509 /  92 = 38.1 ; 3509 /  6.6  = 532 ; 3509 / 17.5 = 201
Tyrant       : 3479 / 125 = 27.8 ; 3479 /  5.2  = 669 ; 3479 / 14.7 = 237
Bufaer       : 3043 /  76 = 40.  ; 3043 /  5.2  = 585 ; 3043 / 13.8 = 221
A525         : 2269 /  64 = 35.5 ; 2269 /  3.8  = 597 ; 2269 / 10.5 = 216
IS-5200      : 2174 / 100 = 21.7 ; 2174 /  3.5  = 621 ; 2174 /  7.3 = 298
