# Ships are sorted according to size, which determines their categories
# total mass = base mass + outfit space + cargo space;
# also listed their required crew / bunks for comparison



# Battleships have a total mass of at least 3000
  "Jupiter":                       3960 = 2100 + 1380 +  480 ; (  210 /  375 )
  "World-Ship C":                  3447 = 2235 +  928 +  284 ; (  794 / 1492 ) 
  "World-Ship B":                  3327 = 2135 +  928 +  264 ; (  804 / 1482 ) 
  "World-Ship A":                  3207 = 2035 +  928 +  244 ; (  814 / 1472 ) 
# Cruisers have a total mass of at least 2000
  "Kar Ik Vot 349":                2491 = 1350 + 1084 +   57 ; (    0 /    0 )
  "Bactrian":                      2410 =  940 +  740 +  730 ; (   70 /  245 )
  "Model 512":                     2251 = 1150 +  994 +  107 ; (    0 /    0 )
  "Deep River":                    2200 =  750 +  250 + 1200 ; (   13 /   22 )
  "Saturn":                        2120 =  910 +  910 +  300 ; (  111 /  184 )
  "Archon":                        2100 = 1200 +  900 +    0 ; (    1 /    1 )
  "Solifuge":                      2078 =  925 +  939 +  214 ; (   62 /  118 )
  "Bulk Freighter":                2060 =  900 +  410 +  750 ; (    6 /   18 )
# Destroyers have a total mass of at least 1500
  "Hurricane":                     1948 =  770 +  982 +  196 ; (   76 /  117 )
  "Model 256":                     1905 =  970 +  857 +   78 ; (    0 /    0 )
  "Punisher":                      1862 =  780 +  888 +  194 ; (   96 /  145 )
  "Hulk":                          1814 =  670 +  520 +  624 ; (    8 /   14 )
  "Kestrel":                       1760 =  740 +  810 +  210 ; (   64 /  128 )
  "Raider":                        1816 =  920 +  721 +  175 ; (  150 /  250 )
  "Shield Beetle":                 1685 =  650 +  909 +  127 ; (   47 /   95 )
  "Dreadnought":                   1630 =  630 +  800 +  200 ; (   84 /  147 )
  "Behemoth":                      1600 =  540 +  510 +  550 ; (   12 /   30 )
  "Sojourner":                     1581 =  640 +  568 +  373 ; (   17 /   84 )
  "Venus":                         1560 =  680 +  760 +  120 ; (   81 /  136 )
  "Model 128":                     1549 =  780 +  716 +   53 ; (    0 /    0 )
  "Arfecta":                       1514 =  760 +  690 +   64 ; (   36 /   46 )
  "Skylark":                       1500 =  500 +  600 +  300 ; (   50 /  200 )
# Frigates have a total mass of at least 1000
  "Derecho":                       1482 =  540 +  811 +  131 ; (   53 /   82 )
  "Maboro":                        1450 =  840 +  660 +  150 ; (   54 /   87 )
  "Twilight":                      1428 =  610 +  608 +  210 ; (   44 /   75 )
  "Modified Leviathan":            1410 =  640 +  720 +   50 ; (   50 /   80 )
  "Tek Far 78 Osk":                1364 =  690 +  631 +   43 ; (    0 /    0 )
  "Leviathan":                     1350 =  580 +  620 +  150 ; (   50 /   75 )
  "Modified Lance":                1300 =  560 +  620 +  120 ; (   43 /   69 )
  "Hauler III":                    1280 =  470 +  360 +  450 ; (    4 /   12 )
  "Skein":                         1280 =  620 +  510 +  150 ; (   10 /   18 )
  "Tek Far 109":                   1272 =  740 +  501 +   31 ; (    0 /    0 )
  "Modified Vanguard":             1260 =  550 +  620 +   90 ; (   27 /   45 )
  "Interdictor":                   1233 =  520 +  544 +  169 ; (   42 /   70 )
  "Bastion":                       1230 =  580 +  480 +  170 ; (   20 /   40 )
  "Protector":                     1230 =  540 +  600 +   90 ; (   36 /   63 )
  "Spire":                         1213 =  570 +  489 +  154 ; (   19 /  197 )
  "Model 64":                      1201 =  580 +  587 +   34 ; (    0 /    0 )
  "Lance":                         1200 =  500 +  580 +  120 ; (   40 /   60 )
  "Tek Far 71 Lek":                1179 =  610 +  533 +   36 ; (    0 /    0 )
  "Vanguard":                      1160 =  500 +  560 +  100 ; (   23 /   45 )
  "Mule":                          1120 =  320 +  450 +  350 ; (    6 /   43 )
  "Spindle":                       1105 =  340 +  434 +  331 ; (    4 /   14 )
  "Wagon":                         1088 =  380 +  349 +  359 ; (    3 /   10 )
  "Met Par Tek 53":                1056 =  420 +  610 +   26 ; (    0 /    0 )
  "Tempest":                       1053 =  320 +  622 +  111 ; (   38 /   53 )
  "Hauler II":                     1020 =  360 +  360 +  300 ; (    4 /   12 )
  "Roost":                         1020 =  460 +  460 +  100 ; (    8 /   16 )
  "Traveller":                     1008 =  350 +  466 +  192 ; (   10 /   45 )
  "Wardragon":                     1000 =  300 +  600 +  100 ; (   60 /   90 )
# Corvettes have a total mass of at least 500
  "Modified Osprey":                940 =  270 +  580 +   60 ; (   16 /   32 )
  "Water Bug":                      894 =  270 +  373 +  251 ; (    5 /   29 )
  "Model 32":                       892 =  370 +  506 +   16 ; (    0 /    0 )
  "Strong Wind":                    873 =  260 +  510 +  103 ; (   17 /   39 )
  "Mars":                           870 =  310 +  470 +   90 ; (   21 /   44 )
  "Modified Firebird":              870 =  350 +  440 +   80 ; (   10 /   25 )
  "Modified Goose":                 825 =  275 +  460 +   90 ; (   14 /   22 )
  "Osprey":                         820 =  270 +  460 +   90 ; (   16 /   32 )
  "Enfolta":                        810 =  410 +  360 +   40 ; (   19 /   27 )
  "Winter Gale":                    810 =  240 +  493 +   77 ; (   14 /   23 )
